date,month,year,station,ws,wd,air_temp,precip
2000-01-01,1,2000,"MTWARA, TZ",6.2,325,27.45,0
2000-01-01,1,2000,"ZANZIBAR, TZ",2.004878048780488,182,25.352631578947367,0
2000-01-01,1,2000,"TANGA, TZ",6.905769230769231,157.6,29.49,NA
2000-01-01,1,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",5.247210300429185,97.86046511627907,27.21324200913242,0
2000-01-01,1,2000,"PEMBA, TZ",6.68,222,29.416666666666668,0
2000-02-01,2,2000,"MTWARA, TZ",7.1375,296.25,28.9125,42.5
2000-02-01,2,2000,"ZANZIBAR, TZ",3.5545454545454547,297.14285714285717,27.533333333333335,0
2000-02-01,2,2000,"TANGA, TZ",6.605882352941176,101,29.488235294117647,NA
2000-02-01,2,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",5.571296296296296,127.94117647058823,28.289719626168225,0.5
2000-02-01,2,2000,"PEMBA, TZ",5.375,125,30.566666666666666,0
2000-03-01,3,2000,"MTWARA, TZ",2.9166666666666665,257.5,24.46666666666667,40
2000-03-01,3,2000,"ZANZIBAR, TZ",2.55,30,28.65,7
2000-03-01,3,2000,"TANGA, TZ",4.867924528301887,164.08163265306123,29.062,0.6666666666666667
2000-03-01,3,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.8655172413793104,152.6595744680851,26.856140350877194,8.166666666666666
2000-03-01,3,2000,"PEMBA, TZ",NA,NA,NA,NA
2000-04-01,4,2000,"MTWARA, TZ",4.82,176,27.580000000000002,32
2000-04-01,4,2000,"ZANZIBAR, TZ",3.225,180,29.25,NA
2000-04-01,4,2000,"TANGA, TZ",4.495918367346938,212.3913043478261,28.53061224489796,1.4166666666666667
2000-04-01,4,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.206603773584906,155.9322033898305,26.13490566037736,8.333333333333334
2000-04-01,4,2000,"PEMBA, TZ",5.65,175,29.85,0
2000-05-01,5,2000,"MTWARA, TZ",7.670370370370371,171.11111111111111,26.18148148148148,1.5185185185185186
2000-05-01,5,2000,"ZANZIBAR, TZ",NA,NA,NA,NA
2000-05-01,5,2000,"TANGA, TZ",5.310909090909091,216.11111111111111,27.23818181818182,1.1666666666666667
2000-05-01,5,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.8201680672268905,170.71428571428572,25.040677966101693,1.1666666666666667
2000-05-01,5,2000,"PEMBA, TZ",5.95,160,27,30.5
2000-06-01,6,2000,"MTWARA, TZ",7.290243902439024,164.390243902439,25.55609756097561,8.975609756097562
2000-06-01,6,2000,"ZANZIBAR, TZ",6.15,160,26.450000000000003,0
2000-06-01,6,2000,"TANGA, TZ",3.908888888888889,220.625,24.693333333333335,6.666666666666667
2000-06-01,6,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.13302752293578,175,23.778181818181817,17.819444444444443
2000-06-01,6,2000,"PEMBA, TZ",5.6117647058823525,152.94117647058823,26.805882352941175,23.176470588235293
2000-07-01,7,2000,"MTWARA, TZ",7.2093750000000005,166.25,25.146875,2.21875
2000-07-01,7,2000,"ZANZIBAR, TZ",8.2,120,27.9,0
2000-07-01,7,2000,"TANGA, TZ",5.418421052631579,217.71428571428572,25.3,NA
2000-07-01,7,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.988157894736842,173.61702127659575,22.985526315789475,2.25
2000-07-01,7,2000,"PEMBA, TZ",6.8999999999999995,168.88888888888889,26.444444444444443,2.125
2000-08-01,8,2000,"MTWARA, TZ",7.35,161,25.5075,2.725
2000-08-01,8,2000,"ZANZIBAR, TZ",NA,NA,NA,NA
2000-08-01,8,2000,"TANGA, TZ",4.445882352941177,209.86486486486487,24.684883720930234,1.1231884057971016
2000-08-01,8,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.8098214285714285,154.53333333333333,23.564285714285713,1.05
2000-08-01,8,2000,"PEMBA, TZ",NA,NA,NA,NA
2000-09-01,9,2000,"MTWARA, TZ",5.433333333333334,111.11111111111111,26.076923076923077,4.256410256410256
2000-09-01,9,2000,"ZANZIBAR, TZ",NA,NA,NA,NA
2000-09-01,9,2000,"TANGA, TZ",4.457894736842105,204.28571428571428,25.20909090909091,5.15
2000-09-01,9,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.798979591836735,111.14754098360656,24.40204081632653,1.1666666666666667
2000-09-01,9,2000,"PEMBA, TZ",5.8,163.33333333333334,27.833333333333332,0
2000-10-01,10,2000,"MTWARA, TZ",5.396428571428571,123.07692307692308,27.37142857142857,1.6296296296296295
2000-10-01,10,2000,"ZANZIBAR, TZ",5.7700000000000005,103,28.03,5.1
2000-10-01,10,2000,"TANGA, TZ",3.4616666666666664,186.53846153846155,26.773333333333333,4.238095238095238
2000-10-01,10,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.58625,85.34482758620689,26.02962962962963,1.1666666666666667
2000-10-01,10,2000,"PEMBA, TZ",5.8,169.0909090909091,27.90909090909091,2.727272727272727
2000-11-01,11,2000,"MTWARA, TZ",5.172,165.78125,27.425,16.11111111111111
2000-11-01,11,2000,"ZANZIBAR, TZ",2.9714285714285715,137.77777777777777,27.31904761904762,5.238095238095238
2000-11-01,11,2000,"TANGA, TZ",2.954970760233918,159.53488372093022,27.428571428571427,4.75
2000-11-01,11,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.224229074889868,95.04729729729729,27.214027149321268,0.942857142857143
2000-11-01,11,2000,"PEMBA, TZ",3.6796296296296296,104.39024390243902,27.932142857142857,9.09375
2000-12-01,12,2000,"MTWARA, TZ",5.302941176470588,158.06451612903226,28.494117647058825,23.470588235294116
2000-12-01,12,2000,"ZANZIBAR, TZ",2.946938775510204,154.0625,27.16530612244898,7.382978723404255
2000-12-01,12,2000,"TANGA, TZ",3.611206896551724,150.91836734693877,28.392241379310345,3.817204301075269
2000-12-01,12,2000,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.85906432748538,138.13084112149534,27.150295857988166,67.30303030303031
2000-12-01,12,2000,"PEMBA, TZ",3.5414634146341464,120.74074074074075,27.724390243902437,0.5365853658536586
2001-01-01,1,2001,"MTWARA, TZ",6.704807692307693,322.2340425531915,26.8375,15.48076923076923
2001-01-01,1,2001,"ZANZIBAR, TZ",4.06875,233.12977099236642,27.16958041958042,2.870967741935484
2001-01-01,1,2001,"TANGA, TZ",3.6185454545454547,186.7391304347826,26.84659090909091,1.0666666666666667
2001-01-01,1,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",4.542014742014742,225.819209039548,26.986967418546367,3.125
2001-01-01,1,2001,"PEMBA, TZ",5.120833333333334,108.78350515463917,27.42689075630252,2.0277777777777777
2001-02-01,2,2001,"MTWARA, TZ",3.7603174603174603,238.31460674157304,27.221487603305786,28.17543859649123
2001-02-01,2,2001,"ZANZIBAR, TZ",2.364918032786885,163.03954802259886,27.063210702341138,4.488095238095238
2001-02-01,2,2001,"TANGA, TZ",3.7946902654867256,140.40816326530611,28.822972972972973,NA
2001-02-01,2,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.0865248226950355,137.62406015037593,27.22009685230024,NA
2001-02-01,2,2001,"PEMBA, TZ",3.961029411764706,109.6039603960396,27.793650793650794,1.3157894736842106
2001-03-01,3,2001,"MTWARA, TZ",4.46625,209.71830985915494,28.212,19.70212765957447
2001-03-01,3,2001,"ZANZIBAR, TZ",2.6602409638554216,171.4,27.133552631578947,0.9122807017543859
2001-03-01,3,2001,"TANGA, TZ",4.520740740740741,156.33333333333334,29.642635658914728,1.3768115942028987
2001-03-01,3,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.2464601769911505,145.24193548387098,27.131455399061032,7.7894736842105265
2001-03-01,3,2001,"PEMBA, TZ",4.405555555555555,143.21428571428572,28.775806451612905,1.0303030303030303
2001-04-01,4,2001,"MTWARA, TZ",5.861538461538461,150.68965517241378,27.86741573033708,19.048387096774192
2001-04-01,4,2001,"ZANZIBAR, TZ",2.861904761904762,147.3913043478261,26.98556701030928,19.166666666666668
2001-04-01,4,2001,"TANGA, TZ",4.212230215827338,198.78048780487805,28.426315789473684,1.3947368421052633
2001-04-01,4,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.2541666666666664,169.45454545454544,26.17794117647059,6.086956521739131
2001-04-01,4,2001,"PEMBA, TZ",4.185106382978724,182.98701298701297,27.913953488372094,14.89090909090909
2001-05-01,5,2001,"MTWARA, TZ",7.325,158.33333333333334,26.272727272727273,16.2
2001-05-01,5,2001,"ZANZIBAR, TZ",3.1818181818181817,213.33333333333331,26.7,1.6666666666666667
2001-05-01,5,2001,"TANGA, TZ",4.9,234.6153846153846,26.728571428571428,3
2001-05-01,5,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",5.388,163.8095238095238,26.096153846153847,30
2001-05-01,5,2001,"PEMBA, TZ",4.457142857142857,196.66666666666666,26.82857142857143,21.5
2001-06-01,6,2001,"MTWARA, TZ",6.942592592592592,149.44444444444446,25.593814432989692,0.5384615384615384
2001-06-01,6,2001,"ZANZIBAR, TZ",4.32979797979798,148.54922279792746,24.82089552238806,3.1076923076923078
2001-06-01,6,2001,"TANGA, TZ",4.475268817204301,202.51461988304092,24.97625,5.083333333333334
2001-06-01,6,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",4.0699604743083,172.73148148148147,23.62857142857143,0.08333333333333333
2001-06-01,6,2001,"PEMBA, TZ",5.354310344827586,183.9090909090909,25.3703125,25.763636363636362
2001-07-01,7,2001,"MTWARA, TZ",6.669135802469135,150,24.96883116883117,1.847457627118644
2001-07-01,7,2001,"ZANZIBAR, TZ",4.001162790697674,142.70588235294116,24.168333333333333,1.4782608695652173
2001-07-01,7,2001,"TANGA, TZ",3.9814814814814814,207.71186440677965,24.930252100840335,2.4166666666666665
2001-07-01,7,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.4069148936170213,169.10344827586206,23.069101123595505,1.6666666666666667
2001-07-01,7,2001,"PEMBA, TZ",5.203703703703703,185.88235294117646,25.22,20.047619047619047
2001-08-01,8,2001,"MTWARA, TZ",5.330985915492958,106.19047619047619,26.111267605633802,0.6619718309859155
2001-08-01,8,2001,"ZANZIBAR, TZ",3.1619047619047618,127.66666666666666,23.929166666666667,0.14705882352941177
2001-08-01,8,2001,"TANGA, TZ",4.3768518518518515,197.45098039215685,24.813084112149532,5
2001-08-01,8,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.966666666666667,143.26923076923077,23.598305084745764,0.16666666666666666
2001-08-01,8,2001,"PEMBA, TZ",4.482142857142857,175.45454545454544,25.58,0
2001-09-01,9,2001,"MTWARA, TZ",5.550617283950618,97.83783783783784,26.3475,0.8024691358024691
2001-09-01,9,2001,"ZANZIBAR, TZ",NA,NA,NA,NA
2001-09-01,9,2001,"TANGA, TZ",3.853623188405797,194.53781512605042,25.256521739130434,1.1666666666666667
2001-09-01,9,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",2.416867469879518,94.94252873563218,23.506586826347306,NA
2001-10-01,10,2001,"MTWARA, TZ",5.914516129032258,90.83333333333333,27.633870967741935,9.59016393442623
2001-10-01,10,2001,"ZANZIBAR, TZ",NA,NA,NA,NA
2001-10-01,10,2001,"TANGA, TZ",3.38843537414966,185.84070796460176,26.512244897959185,0.9942528735632185
2001-10-01,10,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.031395348837209,91.6822429906542,25.60287356321839,4.833333333333333
2001-11-01,11,2001,"MTWARA, TZ",5.855555555555555,76.85714285714286,28.517142857142858,2.810810810810811
2001-11-01,11,2001,"ZANZIBAR, TZ",0,NA,21.4,0
2001-11-01,11,2001,"TANGA, TZ",2.777922077922078,179.31034482758622,26.942307692307693,1.1666666666666667
2001-11-01,11,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",3.004819277108434,70.2,26.351162790697675,1.1666666666666667
2001-12-01,12,2001,"MTWARA, TZ",6.005681818181818,206.17283950617283,28.865909090909092,9.954022988505747
2001-12-01,12,2001,"TANGA, TZ",4.564492753623188,128.45528455284554,28.689928057553956,1.1666666666666667
2001-12-01,12,2001,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",4.456862745098039,68.40490797546012,27.78235294117647,2.1666666666666665
2002-01-01,1,2002,"MTWARA, TZ",5.43448275862069,267.25,27.886206896551723,27.71264367816092
2002-01-01,1,2002,"ZANZIBAR, TZ",0,NA,24.5,NA
2002-01-01,1,2002,"TANGA, TZ",5.1536585365853655,121.28205128205128,29.401626016260163,1.1666666666666667
2002-01-01,1,2002,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",4.52027027027027,153.05084745762713,27.614414414414416,2.008771929824561
2002-02-01,2,2002,"MTWARA, TZ",6.890243902439025,294.86486486486484,28.2,22.536585365853657
2002-02-01,2,2002,"ZANZIBAR, TZ",NA,NA,NA,NA
2002-02-01,2,2002,"TANGA, TZ",5.682539682539683,111.01694915254237,29.409523809523808,NA
2002-02-01,2,2002,"MWALIMU JULIUS K NYERERE INTERNATIONAL, TZ",5.2967032967032965,119.38271604938272,27.79230769230769,31.466666666666665
2002-03-01,3,2002,"MTWARA, TZ",5.071666666666666,202.14285714285714,27.733333333333334,57.74576271186441
2002-03-01,3,2002,"ZANZIBAR, TZ",2.6904761904761902,106.47058823529412,28.227272727272727,2.75
